site_code,site_name,region,business_unit,capacity_gsf,contact_person,email,phone,created_at,updated_at
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 05:18:31,2026-04-14 05:18:31
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 05:49:39,2026-04-14 05:49:39
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 07:34:44,2026-04-14 07:34:44
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 07:39:55,2026-04-14 07:39:55
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 08:24:49,2026-04-14 08:24:49
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 08:27:33,2026-04-14 08:27:33
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 08:33:17,2026-04-14 08:33:17
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 08:46:20,2026-04-14 08:46:20
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 08:49:44,2026-04-14 08:49:44
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 08:56:53,2026-04-14 08:56:53
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 09:01:27,2026-04-14 09:01:27
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 09:39:21,2026-04-14 09:39:21
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 09:48:04,2026-04-14 09:48:04
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 09:58:20,2026-04-14 09:58:20
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 10:04:25,2026-04-14 10:04:25
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 10:06:43,2026-04-14 10:06:43
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 10:06:43,2026-04-14 10:06:43
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 10:30:31,2026-04-14 10:30:31
,LKO1,North,UP Cluster,1196500.0,1196500,Vinod,vmminhas@amazon.com,2026-04-14 10:30:31,2026-04-14 10:30:31
